area_code,area_name,occupation,median_annual_wage
17460,"Cleveland-Elyria, OH",Software Developers,118000
17460,"Cleveland-Elyria, OH",Electrical Engineers,104000
17460,"Cleveland-Elyria, OH",Biomedical Engineers,98000
41860,"San Francisco-Oakland-Berkeley, CA",Software Developers,165000
41860,"San Francisco-Oakland-Berkeley, CA",Electrical Engineers,150000
42660,"Seattle-Tacoma-Bellevue, WA",Software Developers,150000
14460,"Boston-Cambridge-Newton, MA-NH",Biomedical Engineers,118000
35620,"New York-Newark-Jersey City, NY-NJ-PA",Management Analysts,112000
12420,"Austin-Round Rock-Georgetown, TX",Software Developers,125000
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Management Analysts,108000
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",Biomedical Engineers,95000
