"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","1","54","54","0","2024","1","",39,1898,1891,1893,42504500,0,0,1726,"",2.11,1.99,1.97,1.97,2.22,0.00,0.00,1.12,"",1,2.6,-19,-1.0,-18,-0.9,-11,-0.6,-1730620,-3.9,0,0.0,0,0.0,-56,-3.1
"01000","3","54","54","0","2024","1","",88,713,743,755,16114201,4780310,61854,1682,"",5.17,2.45,2.52,2.56,3.26,9.89,43.60,1.30,"",43,95.6,324,83.3,349,88.6,359,90.7,7148349,79.7,2734023,133.6,43451,236.1,-73,-4.2
"01000","5","54","54","0","2024","1","",20468,125169,126456,126128,3096680451,982230523,4656821,1892,"",0.89,0.86,0.86,0.86,0.82,0.78,0.77,0.95,"",1516,8.0,1871,1.5,1819,1.5,1855,1.5,192436525,6.6,17968381,1.9,-728895,-13.5,91,5.1
"01001","5","54","74","0","2024","1","",113,280,287,293,4632838,2016341,16942,1243,"",0.71,0.33,0.34,0.35,0.26,0.32,0.51,0.77,"N",22,24.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","3","54","74","0","2024","1","N",3,0,0,0,0,0,0,0,"N",3.28,0,0,0,0,0,0,0,"N",3,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","54","74","0","2024","1","",970,2964,3026,2997,53275714,22354677,155575,1368,"",0.79,0.52,0.52,0.51,0.44,0.44,0.63,0.86,"",103,11.9,79,2.7,109,3.7,108,3.7,4820074,9.9,1369091,6.5,3102,2.0,81,6.3
"01005","1","54","74","0","2024","1","",1,5,5,5,103642,0,0,1594,"",14.40,1.45,1.45,1.44,2.07,0.00,0.00,1.43,"",0,0.0,-1,-16.7,-1,-16.7,-1,-16.7,-27519,-21.0,0,0.0,0,0.0,-88,-5.2
"01005","5","54","74","0","2024","1","N",32,0,0,0,0,0,0,0,"N",0.37,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","54","74","0","2024","1","",26,71,70,73,944148,510181,4212,1018,"",0.41,0.21,0.21,0.21,0.13,0.19,0.26,0.61,"",0,0.0,-1,-1.4,-3,-4.1,1,1.4,129517,15.9,26850,5.6,151,3.7,152,17.6
"01009","5","54","74","0","2024","1","",62,185,192,194,2947601,1304985,7269,1191,"",0.45,0.29,0.30,0.31,0.26,0.29,0.36,0.86,"",5,8.8,-25,-11.9,-20,-9.4,-18,-8.5,-204283,-6.5,-198511,-13.2,-2146,-22.8,44,3.8
"01011","5","54","74","0","2024","1","N",9,0,0,0,0,0,0,0,"N",0.29,0,0,0,0,0,0,0,"N",3,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","54","74","0","2024","1","",26,122,124,123,1765308,858796,8341,1104,"",0.33,0.25,0.26,0.26,0.20,0.21,0.39,0.76,"",1,4.0,11,9.9,14,12.7,13,11.8,129159,7.9,33029,4.0,-2062,-19.8,-37,-3.2
"01015","1","54","74","0","2024","1","",3,32,30,30,690082,0,0,1731,"",9.16,1.61,1.50,1.50,2.02,0.00,0.00,1.31,"",0,0.0,-1,-3.0,-4,-11.8,-4,-11.8,-13362,-1.9,0,0.0,0,0.0,124,7.7
"01015","3","54","74","0","2024","1","N",3,0,0,0,0,0,0,0,"N",9.95,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","54","74","0","2024","1","",222,1116,1127,1123,15613078,7550368,42779,1070,"",0.55,0.37,0.37,0.37,0.23,0.34,0.41,0.63,"",8,3.7,19,1.7,15,1.3,20,1.8,848736,5.7,63218,0.8,-3230,-7.0,41,4.0
"01017","3","54","74","0","2024","1","N",1,0,0,0,0,0,0,0,"N",12.04,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01017","5","54","74","0","2024","1","",49,249,242,251,2649254,1681577,6944,824,"",0.44,0.40,0.39,0.40,0.21,0.32,0.28,0.52,"",0,0.0,40,19.1,21,9.5,25,11.1,688806,35.1,329925,24.4,-17657,-71.8,134,19.4
"01019","5","54","74","0","2024","1","",38,109,109,110,2174838,742637,6750,1530,"",0.54,0.30,0.29,0.29,0.32,0.27,0.55,1.10,"N",4,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01021","5","54","74","0","2024","1","N",51,0,0,0,0,0,0,0,"N",0.38,0,0,0,0,0,0,0,"N",5,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01023","5","54","74","0","2024","1","",25,67,65,71,1003530,479227,4488,1141,"",0.48,0.29,0.28,0.30,0.17,0.23,0.48,0.60,"N",1,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01025","1","54","74","0","2024","1","",1,5,5,5,126598,0,0,1948,"",11.60,1.33,1.32,1.33,2.03,0.00,0.00,1.52,"",0,0.0,0,0.0,0,0.0,0,0.0,-8936,-6.6,0,0.0,0,0.0,-137,-6.6
"01025","5","54","74","0","2024","1","N",32,0,0,0,0,0,0,0,"N",0.30,0,0,0,0,0,0,0,"N",1,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","5","54","74","0","2024","1","",14,51,51,49,630839,370188,5625,964,"",0.39,0.17,0.17,0.16,0.11,0.14,0.60,0.67,"",2,16.7,-4,-7.3,-1,-1.9,-3,-5.8,129612,25.9,43755,13.4,3065,119.7,237,32.6
"01029","5","54","74","0","2024","1","",15,23,23,23,247358,153530,2064,827,"",0.36,0.12,0.12,0.12,0.06,0.10,0.24,0.50,"N",-2,-11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01031","3","54","74","0","2024","1","N",1,0,0,0,0,0,0,0,"N",6.87,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01031","5","54","74","0","2024","1","",131,640,638,648,10145128,4552847,27913,1216,"",0.67,0.53,0.53,0.54,0.45,0.44,0.65,0.85,"N",24,22.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
